Xiaomi Redmi Note 4,10300,65,,,,,,,,,,
Xiaomi Redmi Note 12T 5G,15999,78,,,,,,,,,,
Xiaomi Redmi Note 9 Pro (4GB RAM + 128GB),14439,77,,,,,,,,,,
Xiaomi Redmi K20 Pro Signature Edition,480000,88,,,,,,,,,,
Xiaomi Redmi Note 8 Pro,16999,78,,,,,,,,,,
Xiaomi Redmi A1 Plus (3GB RAM + 32GB),8399,61,,,,,,,,,,
Xiaomi Civi 2,29999,85,,,,,,,,,,
Xiaomi 11i HyperCharge 5G (8GB RAM + 128GB),26999,86,,,,,,,,,,
Xiaomi Redmi 9A (6GB RAM + 128GB),10990,69,,,,,,,,,,
Xiaomi Mi 10 5G (8GB RAM + 256GB),54999,88,,,,,,,,,,
Xiaomi 14,54999,89,,,,,,,,,,
Xiaomi Civi 3,32990,86,,,,,,,,,,
ZTE Axon 40 Ultra 5G,61990,89,,,,,,,,,,
ZTE Axon 30S,19999,82,,,,,,,,,,
,,,,,,,,,,,,
Date ,,,,,,,,,,,,
,,,,,,,,,,,,
now,03-11-2025 16:05,,,,,,,,,,,
,,,,,,,,,,,,
today,03-11-2025,,,,,,,,,,,
,,,,,,,,,,,,
From the current date how to extract the following,,,,,,,,,,,,
year,2025,,,,,,,,,,,
month,11,,,,,,,,,,,
day,3,,,,,,,,,,,
hour,16,,,,,,,,,,,
minute,05-01-1900 00:00,,,,,,,,,,,
second,31,,,,,,,,,,,
weeknum,45,,,,,,,,,,,
weekday,2,,,,,,,,,,,
,,,,,,,,,,,,
Find Difference,,,,,,,,,,,,
,,,,,,,,,,,,
Advisor code,license_date,License_expire_date,EOMonth,Vintage(year),,,,,,,,
A001,12-Jun-12,12-Jun-17,31-07-2017,8,,,,,,,,
A002,05-Oct-13,05-Oct-18,30-11-2018,7,,,,,,,,
A003,21-Jan-12,21-Jan-17,28-02-2017,8,,,,,,,,
A004,21-Oct-12,21-Oct-17,30-11-2017,8,,,start_date,End_date,Networking_days,,,list_of_Holidays
A005,02-Apr-12,02-Apr-17,31-05-2017,8,,,01-Aug-14,30-Sep-14,40,,,15-Aug-14
A006,02-Aug-17,02-Aug-22,30-09-2022,3,,,,,,,,29-Aug-14
A007,12-Jun-12,12-Jun-17,31-07-2017,8,,,,,,,,12-Sep-14
A008,05-Oct-13,05-Oct-19,30-11-2019,6,,,,,,,,
A009,21-Jan-12,21-Jan-18,28-02-2018,7,,,,,,,,
A010,21-Oct-12,21-Oct-19,30-11-2019,6,,,,,,,,
A011,02-Apr-12,02-Apr-17,31-05-2017,8,,,,,,,,
A012,02-Aug-17,02-Aug-22,30-09-2022,3,,,,,,,,
A013,12-Jun-12,12-Jun-17,31-07-2017,8,,,,,,,,
A014,12-Jun-12,12-Jun-17,31-07-2017,8,,,,,,,,
A015,05-Oct-13,05-Oct-18,30-11-2018,7,,,,,,,,
,,,,,,,,,,,,
Text functions,,,,,,,,,,,,
,,,,,,,,,,,,
Names,left,right,mid,len,concatenate,dept,,,,,,
gaurav yeskar,gaur,eskar,aurav,13,gaurav yeskar  Admin,Admin,,,,,,
sunita yadu,sunit,yadu,sunit,11,sunita yadu  developer,developer,,,,,,
priyanshi,priya,shi,hi,9,priyanshi  manager,manager,,,,,,
Prashant Tripathi,Prash,thi,hant ,17,Prashant Tripathi  data,data,,,,,,
Rohit Sisodiya,Rohit ,iya,Rohit,14,Rohit Sisodiya  analyst,analyst,,,,,,
data Analytics,dat,ics,data ,14,data Analytics  developer,developer,,,,,,
Full Stack Development,Full St,ent,Full S,22,Full Stack Development  stack,stack,,,,,,
Rajesh Kumar,Rajesh Kumar,mar,,,,,,,,,,
,,,,,,,,,,,,
FIND & SEARCH,,,,,,,,,,,,
,,,,,,,,,,,,
cad_ID,Name,Skills,PYTHON,EXCEL,ML,DL,SQL,,,,,
C001,gaurav yeskar,"PYTHON,EXCEL,SQL",1,8,#VALUE!,#VALUE!,14,,,,,
C002,sunita yadu,"PYTHON,ML,DL",1,#VALUE!,8,11,#VALUE!,,,,,
C003,priyanshi,"ML,DL,SQL",#VALUE!,#VALUE!,1,4,7,,,,,
C004,Prashant Tripathi,"PYTHON,ML,DL",1,#VALUE!,8,11,#VALUE!,,,,,
